125 DEBUG  [main]  Spider  - Start :option
125 DEBUG  [main]  Spider  - End :option
125 DEBUG  [main]  Spider  - Start :option
125 DEBUG  [main]  Spider  - End :option
125 DEBUG  [main]  Spider  - Start :option
125 DEBUG  [main]  Spider  - End :option
125 DEBUG  [main]  Spider  - End :select
125 DEBUG  [main]  Spider  - Start :b
125 DEBUG  [main]  Spider  - Simple Tag :input
125 DEBUG  [main]  Spider  - End :b
125 DEBUG  [main]  Spider  - End :font
125 DEBUG  [main]  Spider  - End :td
125 DEBUG  [main]  Spider  - Start :td
125 DEBUG  [main]  Spider  - Start :font
125 INFO  [main]  Spider  - a r/so
125 DEBUG  [main]  Spider  - End :a
125 DEBUG  [main]  Spider  - Simple Tag :br
125 INFO  [main]  Spider  - a r/mk
125 DEBUG  [main]  Spider  - Simple Tag :img
125 DEBUG  [main]  Spider  - End :a
125 DEBUG  [main]  Spider  - End :font
125 DEBUG  [main]  Spider  - End :td
125 DEBUG  [main]  Spider  - End :tr
125 DEBUG  [main]  Spider  - End :table
125 DEBUG  [main]  Spider  - End :form
125 DEBUG  [main]  Spider  - Simple Tag :span
125 DEBUG  [main]  Spider  - Simple Tag :span
125 DEBUG  [main]  Spider  - End :td
125 DEBUG  [main]  Spider  - End :tr
125 DEBUG  [main]  Spider  - End :table
125 DEBUG  [main]  Spider  - End :td
125 DEBUG  [main]  Spider  - End :tr
125 DEBUG  [main]  Spider  - End :table
125 DEBUG  [main]  Spider  - Start :script
125 DEBUG  [main]  Spider  - End :script
125 DEBUG  [main]  Spider  - Start :table
125 DEBUG  [main]  Spider  - Start :tr
125 DEBUG  [main]  Spider  - Start :td
219 DEBUG  [main]  Spider  - Simple Tag :spacer
219 DEBUG  [main]  Spider  - End :td
219 DEBUG  [main]  Spider  - End :tr
219 DEBUG  [main]  Spider  - End :table
219 DEBUG  [main]  Spider  - Start :table
219 DEBUG  [main]  Spider  - Start :tr
219 DEBUG  [main]  Spider  - Start :td
219 DEBUG  [main]  Spider  - Start :font
219 DEBUG  [main]  Spider  - End :font
219 DEBUG  [main]  Spider  - Start :table
219 DEBUG  [main]  Spider  - Start :tr
219 DEBUG  [main]  Spider  - Start :td
219 DEBUG  [main]  Spider  - Start :font
219 INFO  [main]  Spider  - a s/230961
219 DEBUG  [main]  Spider  - Start :b
219 DEBUG  [main]  Spider  - End :b
219 DEBUG  [main]  Spider  - End :a
219 INFO  [main]  Spider  - a s/246721
219 DEBUG  [main]  Spider  - End :a
219 DEBUG  [main]  Spider  - End :font
219 DEBUG  [main]  Spider  - End :td
219 DEBUG  [main]  Spider  - Start :td
219 DEBUG  [main]  Spider  - End :td
219 DEBUG  [main]  Spider  - End :tr
219 DEBUG  [main]  Spider  - End :table
219 DEBUG  [main]  Spider  - End :td
219 DEBUG  [main]  Spider  - End :tr
219 DEBUG  [main]  Spider  - End :table
219 DEBUG  [main]  Spider  - Start :table
219 DEBUG  [main]  Spider  - Start :tr
219 DEBUG  [main]  Spider  - Start :td
219 DEBUG  [main]  Spider  - Simple Tag :spacer
219 DEBUG  [main]  Spider  - End :td
219 DEBUG  [main]  Spider  - End :tr
219 DEBUG  [main]  Spider  - End :table
219 DEBUG  [main]  Spider  - Start :script
219 DEBUG  [main]  Spider  - End :script
219 DEBUG  [main]  Spider  - Start :script
219 DEBUG  [main]  Spider  - End :script
219 DEBUG  [main]  Spider  - Start :script
219 DEBUG  [main]  Spider  - End :script
219 DEBUG  [main]  Spider  - Simple Tag :noscript
437 DEBUG  [main]  Spider  - Simple Tag :img
437 DEBUG  [main]  Spider  - Simple Tag :noscript
437 DEBUG  [main]  Spider  - Start :script
609 DEBUG  [main]  Spider  - End :script
609 DEBUG  [main]  Spider  - Start :table
609 DEBUG  [main]  Spider  - Start :tr
609 DEBUG  [main]  Spider  - Start :td
609 DEBUG  [main]  Spider  - Start :table
609 DEBUG  [main]  Spider  - Start :tr
609 DEBUG  [main]  Spider  - Start :td
609 DEBUG  [main]  Spider  - Start :font
609 DEBUG  [main]  Spider  - Simple Tag :img
609 DEBUG  [main]  Spider  - End :font
609 DEBUG  [main]  Spider  - End :td
609 DEBUG  [main]  Spider  - Start :td
609 DEBUG  [main]  Spider  - Start :table
609 DEBUG  [main]  Spider  - Start :tr
609 DEBUG  [main]  Spider  - Start :td
609 DEBUG  [main]  Spider  - Simple Tag :spacer
609 DEBUG  [main]  Spider  - End :td
609 DEBUG  [main]  Spider  - End :tr
609 DEBUG  [main]  Spider  - End :table
609 DEBUG  [main]  Spider  - End :td
609 DEBUG  [main]  Spider  - End :tr
609 DEBUG  [main]  Spider  - Start :tr
609 DEBUG  [main]  Spider  - Start :td
609 DEBUG  [main]  Spider  - Start :table
609 DEBUG  [main]  Spider  - Start :tr
609 DEBUG  [main]  Spider  - Start :td
609 DEBUG  [main]  Spider  - Simple Tag :spacer
609 DEBUG  [main]  Spider  - End :td
609 DEBUG  [main]  Spider  - End :tr
609 DEBUG  [main]  Spider  - End :table
609 DEBUG  [main]  Spider  - End :td
609 DEBUG  [main]  Spider  - Start :td
609 DEBUG  [main]  Spider  - Simple Tag :spacer
609 DEBUG  [main]  Spider  - End :td
609 DEBUG  [main]  Spider  - End :tr
609 DEBUG  [main]  Spider  - Start :tr
609 DEBUG  [main]  Spider  - Start :td
609 DEBUG  [main]  Spider  - Start :table
609 DEBUG  [main]  Spider  - Start :tr
609 DEBUG  [main]  Spider  - Start :td
625 DEBUG  [main]  Spider  - Start :font
625 INFO  [main]  Spider  - a r/l6
625 DEBUG  [main]  Spider  - Start :b
625 DEBUG  [main]  Spider  - End :b
625 DEBUG  [main]  Spider  - End :a
625 DEBUG  [main]  Spider  - End :font
625 DEBUG  [main]  Spider  - End :td
625 DEBUG  [main]  Spider  - Start :td
625 DEBUG  [main]  Spider  - Start :font
625 INFO  [main]  Spider  - a r/m7
